label,0_x,0_y,0_z,0_v,1_x,1_y,1_z,1_v,2_x,2_y,2_z,2_v,3_x,3_y,3_z,3_v
left,0.508067131,0.353620797,-0.376249194,0.999893725,0.156326443,0.560773969,-0.003167894,0.999786079,0.681106091,0.793448448,-0.367861331,0.907678246,0.134464696,0.961445391,-0.047520339,0.467603892
left,0.5052827,0.348245978,-0.391092598,0.999896049,0.15505594,0.564245284,-0.006039821,0.999758363,0.678134799,0.791437984,-0.377851933,0.902457952,0.133479089,0.963586926,0.003779589,0.451202035
left,0.505687892,0.350074291,-0.395314008,0.999898434,0.153950915,0.564293861,-0.008792192,0.999756038,0.678267539,0.796833098,-0.384648263,0.903697491,0.134080917,0.963668644,-0.008327759,0.441253632
left,0.50702095,0.353386462,-0.407137156,0.999891162,0.153635621,0.565312147,-0.019575661,0.999738812,0.67797482,0.801377416,-0.390034527,0.899849594,0.133778185,0.966394842,0.024755109,0.427463531
left,0.507774055,0.354757458,-0.40278998,0.999890625,0.153478354,0.565802574,-0.020095903,0.999737561,0.67802763,0.803025544,-0.381259263,0.898822546,0.133821622,0.966430604,-0.003641785,0.420756489
left,0.50711143,0.355578482,-0.396691173,0.999891937,0.152158886,0.566603899,-0.021261033,0.999732912,0.677034259,0.803017735,-0.373264074,0.901124597,0.133755863,0.969113588,-0.015159522,0.419187188
left,0.505041599,0.355794609,-0.415505111,0.999892592,0.15201886,0.56774199,0.004918811,0.999720752,0.67634654,0.802698851,-0.4292714,0.904249012,0.133683115,0.969958723,0.00908116,0.416647524
left,0.502070069,0.355260015,-0.389694005,0.999894559,0.151134312,0.568157315,-0.041179381,0.999715209,0.675003707,0.799397767,-0.344840944,0.903626025,0.133824259,0.969918489,0.018383196,0.413420528
left,0.496487319,0.352551669,-0.375594795,0.999895275,0.149595946,0.56858927,-0.050855983,0.999706745,0.671891391,0.79188168,-0.331296057,0.905213356,0.133246601,0.96823746,-0.028924191,0.412744045
left,0.494528472,0.352535158,-0.377997935,0.999890685,0.14856109,0.569865882,-0.047449112,0.999694586,0.669975638,0.79135263,-0.353695929,0.904035687,0.133229941,0.969457269,-0.033549335,0.409010142
left,0.493574679,0.353701681,-0.379002869,0.999883175,0.146470249,0.570048928,-0.049874794,0.999696314,0.669371009,0.79206109,-0.346841186,0.900317967,0.133273244,0.970661938,-0.013633233,0.40722385
left,0.613566458,0.321312279,-0.292644978,0.999818087,0.233678028,0.526462972,-0.122172251,0.999786019,0.756416321,0.799947739,-0.23644042,0.857493579,0.249089167,0.959526598,-0.16239576,0.49103111
left,0.613825917,0.319946945,-0.281162053,0.999821365,0.233467549,0.525921583,-0.141310677,0.999780416,0.756886721,0.799245596,-0.223062307,0.85406065,0.24674198,0.958484292,-0.18089661,0.471777141
left,0.613554597,0.318433404,-0.312205017,0.999815464,0.233025342,0.524017692,-0.141930178,0.999775589,0.756687999,0.796334684,-0.257950455,0.850825846,0.245194465,0.953475535,-0.174174532,0.462785363
left,0.655815363,0.334744304,-0.274740875,0.999871492,0.237644315,0.515832603,-0.172860771,0.999885857,0.764628172,0.81656605,-0.210058182,0.847116649,0.238035768,0.951234698,-0.154290587,0.502823353
left,0.655596793,0.33477509,-0.266261756,0.999874353,0.23758249,0.515382648,-0.172276512,0.999890208,0.764767528,0.816599071,-0.194104195,0.843929172,0.237539127,0.952270865,-0.170506373,0.497354239
left,0.655101776,0.334954947,-0.25763011,0.999877572,0.237400532,0.515210569,-0.172150493,0.999894202,0.764587581,0.814766109,-0.185613245,0.84419632,0.236131862,0.951996863,-0.174410716,0.501449168
left,0.653761804,0.333585531,-0.25788188,0.999878466,0.237374514,0.51376611,-0.172847822,0.99989444,0.765242994,0.814494729,-0.191001356,0.840491712,0.23562026,0.951249957,-0.193174958,0.499817848
left,0.653477132,0.334049404,-0.264489263,0.999870181,0.2374769,0.512805045,-0.173511326,0.999892235,0.764956295,0.815071166,-0.190103501,0.837436557,0.235477537,0.94907856,-0.14263764,0.495789886
left,0.595671177,0.30400151,-0.275876611,0.999804497,0.221738935,0.532297254,-0.099916026,0.999795139,0.752245069,0.79241842,-0.229909629,0.859550357,0.243435264,0.957277834,-0.115921319,0.52901566
left,0.595627069,0.304690093,-0.276133627,0.999807298,0.221755296,0.53307271,-0.089508839,0.999793887,0.751184344,0.794952571,-0.237876728,0.853003383,0.245780468,0.959110796,-0.131916165,0.513208628
left,0.593624711,0.30253616,-0.278498799,0.999806404,0.22163558,0.532271981,-0.119356632,0.999795318,0.749931216,0.788439095,-0.236866742,0.852519095,0.245846108,0.956630826,-0.133097142,0.512729645
left,0.59458518,0.304135591,-0.287433535,0.999808908,0.220656112,0.533209205,-0.112515211,0.9997949,0.749570906,0.789037526,-0.252731502,0.854625463,0.245313615,0.959468305,-0.1607797,0.509241462
left,0.596086085,0.305280328,-0.294079363,0.999814034,0.220152617,0.532220125,-0.097623587,0.999797583,0.749556184,0.790377021,-0.258203119,0.858729362,0.244580775,0.9577232,-0.151684254,0.505629838
left,0.598797381,0.305476815,-0.301299453,0.999821544,0.219999164,0.531022608,-0.093940631,0.999808073,0.74984479,0.790837705,-0.271640033,0.863216758,0.243982077,0.957740188,-0.148537681,0.516901374
left,0.599822164,0.305595607,-0.286140651,0.999812126,0.220441699,0.528847277,-0.107404411,0.999809265,0.74979794,0.790889978,-0.247710913,0.858919322,0.243327111,0.953829885,-0.167004406,0.517657518
left,0.602328837,0.304461151,-0.290069073,0.999805331,0.221317723,0.523501039,-0.115230881,0.999811649,0.749855459,0.787623584,-0.245644778,0.857682705,0.243410319,0.947834432,-0.14104116,0.519177377
left,0.602479041,0.304118216,-0.287799299,0.999804437,0.221728325,0.522363782,-0.107209727,0.999811471,0.750081122,0.786544621,-0.242759705,0.860227704,0.244363114,0.945349038,-0.118769884,0.526386797
left,0.600808978,0.304323345,-0.296759158,0.999807775,0.219820499,0.523412406,-0.106060401,0.999809146,0.749725997,0.787368596,-0.248418853,0.866193891,0.242357939,0.944835365,-0.075285971,0.531976879
